U.S. metropolitan areas,2012,2013,avg
"Urban Honolulu, HI",55 267,57 315,56291
"Utica-Rome, NY",10 169,10 309,10239
"Valdosta, GA",4 546,4 529,"4537,5"
"Vallejo-Fairfield, CA",18 476,19 670,19073
"Victoria, TX",4 933,5 416,"5174,5"
"Vineland-Bridgeton, NJ",5 306,5 281,"5293,5"
"Virginia Beach-Norfolk-Newport News, VA-NC",84 485,85 414,"84949,5"
"Visalia-Porterville, CA",13 188,14 186,13687
"Waco, TX",9 744,10 295,"10019,5"
"Walla Walla, WA",2 644,2 695,"2669,5"
"Warner Robins, GA",6 532,6 538,6535
"Washington-Arlington-Alexandria, DC-VA-MD-WV",454 224,459 268,456746
"Waterloo-Cedar Falls, IA",9 277,8 601,8939
"Watertown-Fort Drum, NY",6 472,6 384,6428
"Wausau, WI",6 596,6 791,"6693,5"
"Weirton-Steubenville, WV-OH",3 998,4 001,"3999,5"
"Wenatchee, WA",4 151,4 161,4156
"Wheeling, WV-OH",6 856,6 912,6884
"Wichita, KS",30 014,28 700,29357
"Wichita Falls, TX",7 117,7 708,"7412,5"
"Williamsport, PA",4 727,4 942,"4834,5"
"Wilmington, NC",10 852,11 885,"11368,5"
"Winchester, VA-WV",5 504,5 697,"5600,5"
"Winston-Salem, NC",24 356,25 129,"24742,5"
"Worcester, MA-CT",36 528,37 400,36964
"Yakima, WA",8 767,8 737,8752
"York-Hanover, PA",16 312,17 025,"16668,5"
"Youngstown-Warren-Boardman, OH-PA",19 213,18 870,"19041,5"
"Yuba City, CA",4 932,5 223,"5077,5"
"Yuma, AZ",5 670,6 005,"5837,5"
